Catalogue Number,Taxon,date ,ecological zone,Zones,meanannual,subspecies,State,county,Sex,Mesowear Score m1 (R),Part Scored,Mesowear Score m1 (L),Part Scored,AverageMSm1,Mesowear Score m2 (R),Part Scored,Mesowear Score m2 (L),Part Scored,AverageMSm2,Mesowear Score m3 (R),Part Scored,Mesowear Score m3 (L),AverageMSm3,Part Scored,Mesowear Score M1 (R),Part Scored,Mesowear Score M1 (L),Part Scored,Mesowear Score M2 (R),Part Scored,Mesowear Score M2 (L),part scored,Mesowear score M3 (R),Part Scored,Mesowear Score M3 (L),Part Scored,Man m3 Width mm,Man m3 Height mm,Man m2 width ,Man m2 Height ,Man m1 width ,Man m1 Height ,m2 mesiodistal length (R),m2 mesiodistal length (L),m3 mesiodistal length (R),m3 mesiodistal length (L),HIm3,HIm2,HIm1,Height / Mesiodistal Length m2,Left Premolar Row Length (Maxilla) mm,Left Premolar Row Length (Mandible) mm,Skull Length mm,Muzzle Width mm,Palate Width mm,Anterior Jaw Maxilla mm,Anterior Jaw Mandible mm,Length of Molar Row (L Man) (mm),Height of Man behind M3 L (mm),Height of Man infront M1 L (mm),Length of L Man (mm),gonion ventrale–coronion L Man (mm),
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,1,metaconid,1,0,metaconid,1,metaconid,0.5,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.13,12.51,10.27,11.82,8.95,9.38,16.23,,21.31,,1.23494571,1.15092502,1.04804469,0.728280961,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,,,,1,entoconid,0,entoconid,0.5,1,metaconid,0,0.5,metaconid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,1,metaconid,1,,,0,entoconid,0,,,,,,,,,,,,,,,,,,,,10.16,9.78,9.09,7.81,,16.56,,,,0.96259843,0.85918592,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,1,metaconid,1,,,0,entoconid,0,,,1,1,metaconid,,,,,,,,,,,,,,,10,9.94,,,15.53,,,,,0.994,,0.640051513,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,,,1,1,metaconid,,,1,,,,,,,,,,,,,,,,,,,,10,9.88,,,16.88,,,,,0.988,,0.585308057,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,,,,0,entoconid,0,entoconid,0,0,metaconid,0,0,entoconid,,,,,,,,,,,,,9.37,9.94,9.7,10.06,8.22,7.45,15.69,,19.38,,1.06083244,1.0371134,0.90632603,0.641172721,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,entoconid,1,entoconid,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,10.2,12.62,9.19,12.37,7.98,9.38,16.11,,20.82,,1.2372549,1.34602829,1.1754386,0.767846058,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,9.98,11.81,9.79,10.24,8.5,8.05,,14.78,,18.59,1.18336673,1.04596527,0.94705882,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,1,metaconid,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,,9.69,11.77,10.14,11.49,8.44,14.74,,19.62,,,0.86151232,0.73455178,0.687924016,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,,,,1,metaconid,,,1,,,,,,,,,,,,,,,,,,,,10.71,10.19,,,,15.88,,,,0.95144725,,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,,,,,,0,metaconid,0,,,,,,,,,,,,,,,,,,,,,9.57,9.66,,,15.47,,,,,,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,,,1,1,metaconid,1,entoconid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,,,1,1,entoconid,0,entoconid,0.5,0,entoconid,0,0,entoconid,,,,,,,,,,,,,9.82,12.27,10.23,10.76,8.86,8.87,16.04,,20.42,,1.24949084,1.05180841,1.00112867,0.670822943,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,1,metaconid,1,1,metaconid,0,metaconid,0.5,0,entoconid,0,0,entoconid,,,,,,,,,,,,,9.49,11.54,9.96,11.68,8.64,8.59,16.44,,21.24,,1.21601686,1.17269076,0.99421296,0.710462287,,,,,,,,,,,,,
UF 9551,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,1,metaconid,,,1,1,entoconid,1,metaconid,1,0,entoconid,0,0,metaconid,,,,,,,,,,,,,9.64,11.68,9.81,10.72,8.99,8.07,15.58,,20.48,,1.21161826,1.09276249,0.89766407,0.688061617,,,,,,,,,,,,,
UF 9553,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,,,,,,,,,1,metaconid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9554,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Union county,M,1,entoconid,,,1,0,metaconid,1,entoconid,0.5,0,metaconid,0,0,metaconid,,,,,,,,,,,,,9.7,10.02,9.01,9.27,7.92,8.11,15.64,,22.42,,1.03298969,1.02885683,1.0239899,0.592710997,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,1,entoconid,,,1,1,entoconid,,,1,1,metaconid,,1,,,,,,,,,,,,,,9.23,10.29,9.64,10.65,7.93,9.24,,,,,1.1148429,1.10477178,1.16519546,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,1,metaconid,,,1,1,metaconid,,,1,0,metaconid,,0,,,,,,,,,,,,,,10.25,11.69,10.33,11.75,8.56,9.28,,,,,1.1404878,1.1374637,1.08411215,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,10.07,10.69,10.33,11.57,8.82,9.07,,,,,1.06156902,1.12003872,1.02834467,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,1,entoconid,,,1,1,entoconid,,,1,0,entoconid,,0,,,,,,,,,,,,,,9.61,8.87,8.92,10.88,7.62,9.07,,,,,0.92299688,1.21973094,1.19028871,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,0,entoconid,,,0,0,entoconid,,,0,0,metaconid,,0,,,,,,,,,,,,,,9.62,10.22,9.54,11.66,8.49,8.99,,,,,1.06237006,1.22222222,1.05889282,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,1,metaconid,,,1,0,metaconid,,,0,1,metaconid,,1,,,,,,,,,,,,,,9.95,11.92,10.11,10.67,8.22,8.28,,,,,1.19798995,1.0553907,1.00729927,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,,,1,metaconid,1,,,1,metaconid,1,,,1,1,entoconid,,,,,,,,,,,,,10.23,11.2,10,10.27,8.15,8.21,,,,,1.09481916,1.027,1.00736196,,,,,,,,,,,,,,
UF 9555,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,,,,,,1,metaconid,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 9557,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,,,1,entoconid,1,,,1,entoconid,1,,,1,1,metaconid,,,,,,,,,,,,,9.56,9.39,9.71,9.95,8.11,7.84,,16.36,23.39,,0.98221757,1.02471679,0.96670777,,,,,,,,,,,,,,
UF 9559,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,0,entoconid,,,0,0,metaconid,,,0,1,entoconid,,1,,,,,,,,,,,,,,11.48,11.09,11.82,12,9.48,9.38,16.2,,24.54,,0.96602787,1.01522843,0.98945148,0.740740741,,,,,,,,,,,,,
UF 9561,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,1,entoconid,,,1,1,entoconid,,,1,0,metaconid,,0,,,,,,,,,,,,,,10.69,12.17,10.72,11.94,9.28,8.5,16.37,,22.33,,1.13844715,1.11380597,0.91594828,0.729383018,,,,,,,,,,,,,
UF 9562,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,1,entoconid,,,1,0,metaconid,,,0,0,metaconid,,0,,,,,,,,,,,,,,10.82,12.39,10.76,12.3,9.28,9.72,16.58,,21.57,,1.14510166,1.14312268,1.04741379,0.74185766,,,,,,,,,,,,,
UF 9563,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,0,metaconid,,,0,1,metaconid,,,1,1,entoconid,,1,,,,,,,,,,,,,,9.94,9.53,9.78,9.53,7.93,7.98,15.11,,19.7,,0.95875252,0.97443763,1.00630517,0.63070814,,,,,,,,,,,,,
UF 9563,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Volusia county,M,1,entoconid,1,metaconid,1,0,entoconid,,,0,,,,,,,,,,,,,,,,,,,,9.84,11.66,,,16,,,,,1.18495935,,0.72875,,,,,,,,,,,,,
UF 9564,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,,,1,metaconid,1,,,1,metaconid,1,,,0,0,metaconid,,,,,,,,,,,,,9.54,12.07,9.05,11.6,8.04,10.24,,,,,1.26519916,1.28176796,1.27363184,,,,,,,,,,,,,,
UF 9565,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,0,entoconid,,,0,0,entoconid,,,0,1,metaconid,,1,,,,,,,,,,,,,,10.76,11.36,10.41,11.92,9.37,10.26,16.84,,21.55,,1.05576208,1.14505283,1.09498399,0.70783848,,,,,,,,,,,,,
UF 9566,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,1,entoconid,,,1,1,entoconid,,,1,1,entoconid,,1,,,,,,,,,,,,,,10.59,11.94,10.33,11.48,9.02,10.34,16.72,,22.41,,1.12747875,1.11132623,1.14634146,0.686602871,,,,,,,,,,,,,
UF 9567,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,,,,,,1,metaconid,,,1,1,metaconid,,1,,,,,,,,,,,,,,9.76,9.59,9.62,9.42,8.44,8.3,15.42,,21.3,,0.98258197,0.97920998,0.98341232,0.610894942,,,,,,,,,,,,,
UF 9569,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,1,entoconid,,,1,1,entoconid,,,1,1,entoconid,,1,,,,,,,,,,,,,,9.85,10.2,9.8,9.82,8.23,8.16,16.34,,21.1,,1.03553299,1.00204082,0.99149453,0.600979192,,,,,,,,,,,,,
UF 9573,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,1,metaconid,,,1,0,metaconid,,,0,0,metaconid,,0,,,,,,,,,,,,,,9.53,10.2,9.95,11.14,8.25,9.65,16.69,,22.39,,1.0703043,1.11959799,1.16969697,0.667465548,,,,,,,,,,,,,
UF 9574,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,M,1,entoconid,,,1,,,,,,1,entoconid,,1,,,,,,,,,,,,,,10.5,10.6,11.74,11.3,9.58,8.8,17.43,,24.17,,1.00952381,0.96252129,0.91858038,0.648307516,,,,,,,,,,,,,
UF 9575,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,,,0,entoconid,0,,,0,entoconid,0,,,0,0,metaconid,,,,,,,,,,,,,10.02,12.4,9.86,12.3,9.27,11.26,,16.23,,20.03,1.23752495,1.2474645,1.21467098,,,,,,,,,,,,,,
UF 9576,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Broward county,,,,,,,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,,,9.72,10.45,8.86,9.17,,16.75,,,,1.07510288,1.03498871,,,,,,,,,,,,,,
UF 9649,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,,,,,,1,metaconid,1,metaconid,1,1,entoconid,1,1,metaconid,,,,,,,,,,,,,9.89,9.56,10.34,10.23,8.86,8.86,15.93,16.63,19.62,19.76,0.96663296,0.9893617,1,0.642184557,,,,,,,,,,,,,
UMMZ 40446,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Dickinson county,f,1,metaconid,1,metaconid,1,0,metaconid,0,metaconid,0,0,entoconid,0,0,entoconid,1,metacone,0,met,0,paracone,0,paracone,0,paracone,0,paracone,10.69,12.51,10.67,11.8,9.4,8.84,17,,23.71,,1.17025257,1.1059044,0.94042553,0.694117647,,,,,,,,,,,,,
UMMZ 5240,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Livingston county,m,1,entoconid,1,entoconid,1,1,entoconid,1,entoconid,1,0,entoconid,,0,,0,paracone,1,paracone,1,metacone,1,metacone,0,paracone,0,paracone,11.49,11.15,11.77,10.24,9.32,7.23,15.61,,20.32,,0.97040905,0.8700085,0.77575107,0.65598975,,,,,,,,,,,,,
UMMZ 57750,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Crawford County,f,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,34.55,32.23,280.86,40.17,47.24,86.63,73.9,46.93,30.59,22.49,222.25,102.99,
UMMZ 57751,Odocoileus virginianus ,,8.1.6,Closed Woodlands,862,,MI,LaPort county,F,1,entoconid,1,entoconid,1,1,entoconid,0,metaconid,0.5,0,metaconid,0,0,entoconid,0,metacone,0,metacone,0,metacone,0,metacone,0,metacone,0,metacone,10.27,10.75,12.23,10.22,11.03,8.7,,,,,1.04673807,0.83565004,0.78875793,,,,,,,,,,,,,,
UMMZ 57868,Odocoileus virginianus,,5.2.2,Wet Plains,599,,MN,Funkley,f,1,metaconid,1,metaconid,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,0,metacone,0,met,0,metacone,0,metacone,0,paracone,0,paracone,10.6,11.37,11.17,11.28,9.93,8.75,15.87,,19.83,,1.07264151,1.00984781,0.88116818,0.710775047,,,,,,,,,,,,,
UMMZ 59029,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Crawford County,f,,,,,,,,,,,,,,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 60952,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 60962,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,29.33,32.48,287.68,44.34,50.98,92.46,78.22,48.85,32.01,21.77,224.76,,
UMMZ 60967,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,Male,1,metaconid,1,metaconid,1,0,metaconid,1,metaconid,0.5,0,metaconid,1,0.5,metaconid,0,paracone,0,paracone,0,paracone,1,paracone,0,metacone,0,metacone,9.99,11.5,10.23,9.99,8.96,7.77,16.05,,22.29,,1.15115115,0.97653959,0.8671875,0.622429907,35.71,32.26,284.31,38.47,52.54,96.31,85.77,50.87,30.69,22.99,230.24,113.96,
UMMZ 60980,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 60986,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Houghton county,m,1,entoconid,,,1,0,entoconid,0,entoconid,0,0,metaconid,0,0,metaconid,0,paracone,0,paracone,0,paracone,0,paracone,0,paracone,0,paracone,10.77,11.92,11.15,10.54,9.79,8.76,17.22,,22.01,,1.10677809,0.94529148,0.8947906,0.612078978,,,,,,,,,,,,,
UMMZ 60997,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,0,metaconid,1,metaconid,0.5,0,metaconid,0,entoconid,0,1,ento,1,1,entoconid,0,paracone,0,paracone,0,metacone,0,metacone,1,metacone,1,metacone,10.68,12.47,10.45,12.09,9.15,10.4,16.74,,23.48,,1.167603,1.1569378,1.13661202,0.722222222,,,,,,,,,,,,,
UMMZ 61004,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Iron county,m,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61010,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,1,entoconid,0,entoconid,0.5,0,metaconid,0,0,metaconid,0,metacone,0,metacone,0,metacone,0,metacone,0,Paracone,0,paracone,9.83,10.71,11.11,9.63,10.06,7.91,,,,,1.08952187,0.86678668,0.78628231,,30.03,33.02,301.94,49.45,49.22,96.15,78.62,52.79,30.16,23.08,232.87,111.14,
UMMZ 61011,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61018,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,,,,,,,,,,,,,,,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61023,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Iosco county,m,1,entoconid,1,entoconid,1,1,entoconid,1,entoconid,1,,,1,1,metaconid,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,11.24,11.18,10.89,10.42,9.75,7.29,16.86,,22.51,,0.99466192,0.95684114,0.74769231,0.618030842,,,,,,,,,,,,,
UMMZ 61025,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Houghton county,m,1,metaconid,1,metaconid,1,0,ento,1,entoconid,0.5,0,ento,0,0,entoconid,1,metacone,1,metacone,1,metacone,0,paracone,0,paracone,0,paracone,10.86,12.7,11.45,13.31,9.71,10.72,18.04,,23.23,,1.1694291,1.16244541,1.10401648,0.737804878,,,,,,,,,,,,,
UMMZ 61028,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,,,,,,,,,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,33.33,33.33,282.45,41.46,52.4,89.94,77.41,50.83,32.07,23.88,211.92,broken,
UMMZ 61029,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,M,,,,,,,,,,,,,,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61030,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,,,,,,,,,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61032,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,,,,,,,,,,,,,,,,,,1,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61034,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Alger county,M,1,metaconid,0,entoconid,0.5,1,entoconid,0,metaconid,0.5,0,metaconid,1,0.5,metaconid,1,paracone,1,paracone,1,metacone,1,paracone,1,metacone,1,paracone,9.81,11.75,11.28,9.5,10.32,7.06,,,,,1.19775739,0.84219858,0.68410853,,,,,,,,,,,,,,
UMMZ 61040,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Crawford County,m,1,metaconid,1,metaconid,1,,n,1,metaconid,1,0,metaconid,0,0,metaconid,0,metacone,0,met,1,paracone,0,paracone,1,paracone,1,paracone,10.55,12.05,10.67,10.51,9.42,9.02,17.17,,20.13,,1.14218009,0.98500469,0.95753715,0.612114153,,,,,,,,,,,,,
UMMZ 61044,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Dickinson county,m,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61045,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Alpena county,m,0,entoconid,1,entoconid,0.5,1,metaconid,0,entoconid,0.5,0,entoconid,0,0,metaconid,0,metacone,0,metacone,0,metacone,0,metacone,0,metacone,0,metacone,10.02,10.86,10.96,11.83,9.59,8.32,16.59,,22.13,,1.08383234,1.07937956,0.86757039,0.713080169,,,,,,,,,,,,,
UMMZ 61053,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,1,metaconid,,,1,1,metaconid,1,metaconid,1,0,metaconid,0,0,entoconid,0,paracone,0,paracone,0,paracone,0,paracone,0,paracone,1,paracone,10.43,10.26,10.3,10.34,9.3,8.22,16.78,,,,0.98370086,1.0038835,0.88387097,0.616209774,,,,,,,,,,,,,
UMMZ 61053,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,,,,,,,,,,,,,,,,,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61062,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Alpena county,M,1,entoconid,1,entoconid,1,0,metaconid,1,metaconid,0.5,0,entoconid,1,0.5,metaconid,0,metacone,1,paracone,0,metacone,0,metacone,0,metacone,,,10.13,12.51,10.14,10.7,9.17,8.82,14.89,,18.29,,1.23494571,1.05522682,0.96183206,0.718603089,,,,,,,,,,,,,
UMMZ 61073,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Chippewa county,m,1,metaconid,1,metaconid,1,0,metaconid,,,0,1,entoconid,1,1,entoconid,1,metacone,0,metacone,0,paracone,0,metacone,0,paracone,0,paracone,10.43,11.62,11.76,12.42,9.54,9.05,19.19,,21.47,,1.11409396,1.05612245,0.94863732,0.64721209,,,,,,,,,,,,,
UMMZ 61083,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61093,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Chippewa county,m,,,1,metaconid,1,1,metaconid,1,metaconid,1,1,entoconid,,1,,1,metacone,1,metacone,1,metacone,1,metacone,1,metacone,1,metacone,10.6,10.93,11.5,10.2,9.7,7.6,16.6,,20.99,,1.03113208,0.88695652,0.78350515,0.614457831,,,,,,,,,,,,,
UMMZ 61097,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Delta county,m,,,,,,,,,,,,,,,,,,1,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMZ 61114,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Houghton county,m,1,metaconid,,,1,1,metaconid,1,metaconid,1,,,,,,0,metacone,0,metacone,0,metacone,0,metacone,0,paracone,0,metacone,11.15,12.86,11.45,12.82,10.73,10.44,16.26,,21.37,,1.15336323,1.11965066,0.97297297,0.788437884,,,,,,,,,,,,,
UMMZ 61117,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Chippewa county,m,1,entoconid,1,entoconid,1,0,metaconid,0,entoconid,0,0,entoconid,0,0,entoconid,1,metacone,1,metacone,1,metacone,0,paracone,0,metacone,0,metacone,10.13,11.3,10.5,10.7,9.23,7.25,16.78,,19.74,,1.11549852,1.01904762,0.78548212,0.637663886,,,,,,,,,,,,,
UMMZ 61118,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Chippewa county,m,1,metaconid,1,entoconid,1,1,metaconid,1,metaconid,1,1,entoconid,1,1,entoconid,1,metacone,1,metacone,0,metacone,0,metacone,0,paracone,0,paracone,10.04,12.03,10.54,10.18,9.71,8.18,16.9,,21.17,,1.19820717,0.9658444,0.84243048,0.602366864,,,,,,,,,,,,,
UMMZ 61125,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Alpena county,m,0,entoconid,0,metaconid,0,0,entoconid,,,0,0,entoconid,0,0,entoconid,1,metacone,0,paracone,1,paracone,1,metacone,1,metacone,1,paracone,10.41,10.1,10.43,9.39,9.29,6.93,15.65,,20.32,,0.97022094,0.90028763,0.7459634,0.6,,,,,,,,,,,,,
UMMZ 61129,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Oscoda county,m,1,metaconid,0,entoconid,0.5,0,ento,0,metaconid,0,,,0,0,metaconid,0,metacone,0,metacone,1,paracone,1,paracone,0,metacone,0,metacone,10.37,11.36,10.66,11.57,9.66,9.36,16.72,,18.95,,1.0954677,1.08536585,0.9689441,0.691985646,,,,,,,,,,,,,
UMMZ 61143,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Chippewa county,m,0,entoconid,0,entoconid,0,0,entoconid,0,metaconid,0,1,entoconid,1,1,entoconid,0,metacone,0,paracone,0,metacone,0,metacone,0,metacone,0,metacone,11,10.49,11.9,10.05,10.56,7.1,17.24,,21.69,,0.95363636,0.84453782,0.67234848,0.582946636,,,,,,,,,,,,,
UMMZ 61144,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Crawford county,m,1,metaconid,1,metaconid,1,0,entoconid,1,entoconid,0.5,1,entoconid,1,1,entoconid,0,paracone,1,paracone,0,metacone,1,metacone,0,metacone,0,metacone,10.85,11.45,10.11,12.34,9.21,10.98,17.23,,21.92,,1.05529954,1.22057369,1.19218241,0.716192687,,,,,,,,,,,,,
UMMZ 61152,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Alpena county,m,1,metaconid,1,entoconid,1,0,entoconid,0,metaconid,0,1,metaconid,1,1,metaconid,1,metacone,,,1,paracone,1,metacone,0,metacone,0,metacone,11.03,10.31,11.56,9.32,10.01,6.79,16.43,,21.64,,0.93472348,0.80622837,0.67832168,0.567255021,,,,,,,,,,,,,
UMMZ 61167,Odocoileus virginianus,,5.2.1,Mixed Woodlands,768,,MI,Alpena county,m,0,metaconid,1,entoconid,0.5,0,entoconid,0,entoconid,0,0,entoconid,0,0,entoconid,1,metacone,1,metacone,0,paracone,1,paracone,0,paracone,0,metacone,9.89,11.24,10.78,10.9,9.21,8.66,15.29,,20.06,,1.13650152,1.01113173,0.9402823,0.712884238,,,,,,,,,,,,,
